image_id,bug_ratio,area,perimeter,eccentricity,solidity,extent,aspect_ratio,horizontal_symmetry,r_min,g_min,b_min,r_max,g_max,b_max,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_std,g_std,b_std,texture_entropy,texture_energy,hu_moment1,hu_moment2,hu_moment3,hu_moment4,bug_type,species
1,-0.9228791528768426,-0.9207426704367156,0.9235082662645474,-1.8409687054735453,-0.3579563099439808,0.3592189108032117,-0.9937858191989526,1.186485766736059,-0.014108870227685023,0.25205019687931873,-0.29815117993562945,-2.7520868401858536,-2.1725431112939018,-2.932439718259421,-1.0837662156225933,-0.9413195122499997,-1.1322193383407209,-1.0885655744970293,-1.060840201182118,-1.094258218025512,-0.7459874062491869,-0.45393113632155885,-1.359154487842886,1.0819727001628046,-1.4900867212253102,0.4642441498110007,1.8459136167000714,0.7873360393773385,1.0518158462798162,Bee,Apis mellifera
2,-0.8559691744656006,-0.8538875740296565,1.0922468842820063,-0.46664373829465283,-1.0795719550093097,-0.3703218524246115,-0.5767144988965662,1.0859254411181796,-0.515981539755337,0.0010082007875172874,-0.29815117993562945,-0.06290947059386867,0.34717098804624813,-0.20849472651219123,-1.2271901805823264,-1.0379130512875552,-1.2751714492788,-1.1158015901772707,-1.1437755889668426,-1.2374375644723605,-1.4523972143305508,-0.7418671432801064,-1.5341553524624696,0.6794220490280701,-1.288827371134862,-0.359509883772522,0.26066008262498874,-0.6604760505798469,-0.5899808937511671,Bee,Apis mellifera
3,-0.05063315037387774,-0.049212115911683126,2.3583370451733168,-2.8636974618404665,-0.5438963563986986,-0.21360415489821588,-1.143556642723919,-0.3392165669088191,-0.34869064991278637,-0.5010757913960856,-0.29815117993562945,0.40769656908472873,0.540995149533952,0.3790228207274074,0.22030567914303928,0.1928128916531482,-0.3243670320761043,0.4911233349569596,0.2937711326350481,-0.29245387792316097,0.5709107898981024,1.2826311227732032,0.6304422786751354,0.1740139621472751,-0.11289983860334675,0.3905021529375439,3.324207204606124,-0.4691062024361264,0.046514129504769755,Bee,Apis mellifera
4,-0.5803270266530747,-0.5784715179581296,2.2820551824941315,0.4738819404279742,-0.7094619187779315,-0.4146667554671569,0.030983910970648072,0.10963116035455052,-0.014108870227685023,0.25205019687931873,-0.29815117993562945,-2.012563063548058,-1.4941585460869382,-2.505154229357895,-0.43315796940289125,-0.3848281547565061,-0.769731854083849,-0.2170130727293113,-0.3973570989043224,-0.7506277865530759,-0.9447905098395419,-0.3627172491778162,-1.2311549028922308,0.3196504490268771,-0.5872384384006185,0.16003595925445258,-0.3987044007272845,1.4475611092481024,0.49414138765390203,Bee,Apis mellifera
5,-0.8195911022000123,-0.8175393403854763,0.722691240609149,-0.09796203137231846,-1.0702757896767792,-0.7203755899324206,-0.38813169222333294,0.8573529156561827,0.15318201961486563,-0.5010757913960856,-0.29815117993562945,0.40769656908472873,0.29871494767432216,-0.15508404039950044,0.7540920683025428,0.6443455099997062,0.27962459599155176,1.0358436485617835,0.4319967789429222,0.02254068425990553,1.0073523194922982,1.6325895473796173,1.2519074603448876,0.520984409778837,-0.4232265395215625,-0.7562073117225364,-0.15250641968517223,-0.8625734317152521,-1.1983344998034322,Bee,Apis mellifera
6,-1.0127624080713806,-1.0105522001077267,-0.24347435078229795,0.6696075914322434,-0.4576674784988725,-0.2924408140198483,0.2297275872239735,0.8487190988902291,0.3204729094574163,0.5030921929711202,-0.29815117993562945,-3.222692879864451,-2.1725431112939018,-2.3449221710198223,-0.0032317895979386735,0.07525637982332142,-0.15299576498171558,0.35494325655575365,0.07261009854244956,-0.20654627005505194,-0.5414825062380892,0.2593208491953945,0.004707300724439791,-0.3238369319978654,-0.5608313666460981,-0.15272050378781873,-0.6313023629598588,-0.490571695224099,-0.8411131228875245,Bee,Apis mellifera
7,-1.0281126212748042,-1.0258898225065314,-0.24559235040123126,1.5839526047082504,0.19054653068478566,0.08808921292358948,2.1912717459918825,0.8719073073134473,0.989636468827619,1.7583021734301272,0.8140532216219994,-0.7352038129918649,-0.47658169827649316,-1.3301191348786976,-0.3000265186191849,-0.32547216749616426,-0.7502859970800789,-0.2442490884095525,-0.14855093555014903,-0.5788125708168579,-1.546727933704032,-1.4609250955797584,-1.521924142846951,0.34194835790833583,-0.8084931335368885,-0.47509549849699884,-1.4369373591014092,1.7842665751283182,0.6958152655649548,Bee,Apis mellifera
8,-0.9213302534173431,-0.9191950414410339,0.28198566561640276,1.4187134008938507,-1.08763230408571,-1.5838783886476209,1.597794468189838,0.6883780044957446,-0.1813997600702357,0.5030921929711202,0.5360021212325923,-5.441264209777839,-3.5293122417078284,-3.466546579386329,-1.5001505671150879,-1.3425180118906397,-1.2340832565325595,-1.3336897156192,-1.2267109767515672,-1.094258218025512,-2.242123206356039,-1.601637515553061,-1.2422215793554432,0.23031871362050463,-1.38318553197313,-0.995824664673317,-1.4310192411248122,0.205111421595194,-0.5558093692297783,Bee,Apis mellifera
9,-0.9364772510116803,-0.934329614915605,0.3261015097246704,-1.0233461451498085,-0.04568118593076329,-0.41858375055317126,-0.7876110832993951,0.8988778686168623,0.15318201961486563,0.25205019687931873,-0.29815117993562945,0.40769656908472873,0.540995149533952,0.3256121346147166,-0.43209608444277714,-0.37246528651091804,-0.15696203615619456,-0.08083299432810537,-0.31442171111959794,-0.14927453147631256,-0.16431457065622712,0.3213552870086481,0.609896381123503,0.2112341300370385,-0.10803606619716141,-0.5730228411858734,0.7211563084869155,-1.3455124331485302,-0.36733143822032016,Bee,Apis mellifera
10,-0.4259178590953562,-0.42418900243021274,0.9631215648131102,-1.2963278484654668,-0.06229024660684082,0.6338877980275595,-0.8676380028965215,0.35024502769979926,-0.1813997600702357,-0.5010757913960856,-0.29815117993562945,0.40769656908472873,0.540995149533952,0.3790228207274074,-0.5870001834487462,-0.639804516240853,-0.42556443963584184,-0.43490119817124084,-0.7567437793047951,-0.4929049629487488,-0.2022069975418891,-0.026484507356357805,0.202272592004583,-1.15217576693956,1.1057999543707273,0.23870794947008311,1.1903417109132743,-0.3169154513950794,1.5302141285347122,Bee,Apis mellifera
